;;1-А;;;;;;;;;;;;;;;;;;1-Б;;;;;;;;;;;;;;;;;;1-В;;;;;;;;;;;;;;;;;;1-Г;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;1;08:30;"Английский язык
Кущева Н.А.
ШО 1
301а, Кабинет АЯ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2;09:30;"Математика
Иванов А.С.
ШО 1
311БНК, Каб. нач. классов";2;09:30;"Математика
Иванов А.С.
ШО 1
311БНК, Каб. нач. классов";2;09:30;"Русский язык
Иванов А.С.
ШО 1
311БНК, Каб. нач. классов";2;09:30;"Математика
Иванов А.С.
ШО 1
311БНК, Каб. нач. классов";2;09:30;"Занимательная математика
Иванов А.С.
ШО 1
311БНК, Каб. нач. классов";;;;2;09:30;"Изобразительное искусство
Назина Л.А.
ШО 1
301БНК, Каб. нач. классов";2;09:30;"Литературное чтение
Иноземцева Т.С.
ШО 1
301БНК, Каб. нач. классов";2;09:30;"Литературное чтение
Иноземцева Т.С.
ШО 1
301БНК, Каб. нач. классов";2;09:30;"Русский язык
Иноземцева Т.С.
ШО 1
301БНК, Каб. нач. классов";2;09:30;"Математика
Иноземцева Т.С.
ШО 1
301БНК, Каб. нач. классов";;;;2;09:30;"Математика
Медведюк И.С.
ШО 1
111БНК, Каб. нач. классов";2;09:30;"Русский язык
Медведюк И.С.
ШО 1
111БНК, Каб. нач. классов";2;09:30;"Русский язык
Медведюк И.С.
ШО 1
111БНК, Каб. нач. классов";2;09:30;"Математика
Медведюк И.С.
ШО 1
111БНК, Каб. нач. классов";2;09:30;"Английский язык
Широкова Н.П.
ШО 1
407а2, Кабинет АЯ";;;;2;09:30;"Математика
Мушникова О.А.
ШО 1
112б, Каб. нач. классов";2;09:30;"Английский язык
Ширнина В.О.
ШО 1
112б, Каб. нач. классов";2;09:30;"Русский язык
Мушникова О.А.
ШО 1
112б, Каб. нач. классов";2;09:30;"Русский язык
Мушникова О.А.
ШО 1
112б, Каб. нач. классов";2;09:30;"Русский язык
Мушникова О.А.
ШО 1
112б, Каб. нач. классов";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;09:30;"Английский язык
Тропина С.С.
ШО 1
407а1, Кабинет АЯ";;;;;;;2;09:30;"Английский язык
Якушкина Г.Б.
ШО 1
204а, Кабинет АЯ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;3;10:35;"Русский язык
Иванов А.С.
ШО 1
311БНК, Каб. нач. классов";3;10:35;"Литературное чтение
Иванов А.С.
ШО 1
311БНК, Каб. нач. классов";3;10:35;"Математика
Иванов А.С.
ШО 1
311БНК, Каб. нач. классов";3;10:35;"Литературное чтение
Иванов А.С.
ШО 1
311БНК, Каб. нач. классов";3;10:35;"Английский язык
Якушкина Г.Б.
ШО 1
204а, Кабинет АЯ";;;;3;10:35;"Русский язык
Иноземцева Т.С.
ШО 1
301БНК, Каб. нач. классов";3;10:35;"Математика
Иноземцева Т.С.
ШО 1
301БНК, Каб. нач. классов";3;10:35;"Математика
Иноземцева Т.С.
ШО 1
301БНК, Каб. нач. классов";3;10:35;"Английский язык
Широкова Н.П.
ШО 1
407а2, Кабинет АЯ";3;10:35;"Физическая культура
Воякин Д.М.
ШО 1
С/з БНК (207БНК), Спортивный зал БНК";;;;3;10:35;"Английский язык
Широкова Н.П.
ШО 1
407а2, Кабинет АЯ";3;10:35;"Математика
Медведюк И.С.
ШО 1
111БНК, Каб. нач. классов";3;10:35;"Литературное чтение
Медведюк И.С.
ШО 1
111БНК, Каб. нач. классов";3;10:35;"Музыка
Шелепова И.М.
ШО 1
111БНК, Каб. нач. классов";3;10:35;"Русский язык
Медведюк И.С.
ШО 1
111БНК, Каб. нач. классов";;;;3;10:35;"Окружающий мир
Мушникова О.А.
ШО 1
112б, Каб. нач. классов";3;10:35;"Математика
Мушникова О.А.
ШО 1
112б, Каб. нач. классов";3;10:35;"Английский язык
Ширнина В.О.
ШО 1
112б, Каб. нач. классов";3;10:35;"Введение в геометрию
Мушникова О.А.
ШО 1
112б, Каб. нач. классов";3;10:35;"Литературное чтение
Мушникова О.А.
ШО 1
112б, Каб. нач. классов";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;3;10:35;"Английский язык
Кущева Н.А.
ШО 1
301а, Кабинет АЯ";;;;;;;;;;;;;3;10:35;"Английский язык
Якушкина Г.Б.
ШО 1
204а, Кабинет АЯ";;;;;;;3;10:35;"Английский язык
Тропина С.С.
ШО 1
407а1, Кабинет АЯ";;;;;;;;;;;;;;;;;;;;;;3;10:35;"Английский язык
Якушкина Г.Б.
ШО 1
204а, Кабинет АЯ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;4;11:40;"Литературное чтение
Иванов А.С.
ШО 1
311БНК, Каб. нач. классов";4;11:40;"Окружающий мир
Иванов А.С.
ШО 1
311БНК, Каб. нач. классов";4;11:40;"Литературное чтение
Иванов А.С.
ШО 1
311БНК, Каб. нач. классов";4;11:40;"Технология
Иванов А.С.
ШО 1
311БНК, Каб. нач. классов";4;11:40;"Окружающий мир
Иванов А.С.
ШО 1
311БНК, Каб. нач. классов";;;;4;11:40;"Математика
Иноземцева Т.С.
ШО 1
301БНК, Каб. нач. классов";4;11:40;"Музыка
Шелепова И.М.
ШО 1
301БНК, Каб. нач. классов";4;11:40;"Окружающий мир
Иноземцева Т.С.
ШО 1
301БНК, Каб. нач. классов";4;11:40;"Физическая культура
Воякин Д.М.
ШО 1
С/з БНК (207БНК), Спортивный зал БНК";4;11:40;"Русский язык
Иноземцева Т.С.
ШО 1
301БНК, Каб. нач. классов";;;;4;11:40;"Окружающий мир
Медведюк И.С.
ШО 1
111БНК, Каб. нач. классов";4;11:40;"Литературное чтение
Медведюк И.С.
ШО 1
111БНК, Каб. нач. классов";4;11:40;"Технология
Медведюк И.С.
ШО 1
111БНК, Каб. нач. классов";4;11:40;"Шахматы
Уваров В.Г.
ШО 1
111БНК, Каб. нач. классов";4;11:40;"Математика
Медведюк И.С.
ШО 1
111БНК, Каб. нач. классов";;;;4;11:40;"Литературное чтение
Мушникова О.А.
ШО 1
112б, Каб. нач. классов";4;11:40;"Литературное чтение
Мушникова О.А.
ШО 1
112б, Каб. нач. классов";4;11:40;"Окружающий мир
Мушникова О.А.
ШО 1
112б, Каб. нач. классов";4;11:40;"Литературное чтение
Мушникова О.А.
ШО 1
112б, Каб. нач. классов";4;11:40;"Физическая культура
Воякин Д.М.
ШО 1
С/з мал. (201), Спортивный зал малый";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;5;12:35;"Физическая культура
Куликов А.И.
ШО 1
С/з бол. (203), Спортивный зал большой";5;12:35;"Изобразительное искусство
Назина Л.А.
ШО 1
311БНК, Каб. нач. классов";5;12:35;"Шахматы
Уваров В.Г.
ШО 1
311БНК, Каб. нач. классов";5;12:35;"Физическая культура
Куликов А.И.
ШО 1
С/з бол. (203), Спортивный зал большой";;;;;;;5;12:35;"Литературное чтение
Иноземцева Т.С.
ШО 1
301БНК, Каб. нач. классов";5;12:35;"Английский язык
Широкова Н.П.
ШО 1
407а2, Кабинет АЯ";5;12:35;"Технология
Иноземцева Т.С.
ШО 1
301БНК, Каб. нач. классов";5;12:35;"Литературное чтение
Иноземцева Т.С.
ШО 1
301БНК, Каб. нач. классов";;;;;;;5;12:35;"Литературное чтение
Медведюк И.С.
ШО 1
111БНК, Каб. нач. классов";;;;5;12:35;"Изобразительное искусство
Назина Л.А.
ШО 1
111БНК, Каб. нач. классов";5;12:35;"Окружающий мир
Медведюк И.С.
ШО 1
111БНК, Каб. нач. классов";5;12:35;"Литературное чтение
Медведюк И.С.
ШО 1
111БНК, Каб. нач. классов";;;;5;12:35;"Физическая культура
Воякин Д.М.
ШО 1
С/з мал. (201), Спортивный зал малый";;;;5;12:35;"Музыка
Шелепова И.М.
ШО 1
112б, Каб. нач. классов";5;12:35;"Изобразительное искусство
Назина Л.А.
ШО 1
112б, Каб. нач. классов";5;12:35;"Технология
Мушникова О.А.
ШО 1
112б, Каб. нач. классов";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;5;12:35;"Английский язык
Якушкина Г.Б.
ШО 1
204а, Кабинет АЯ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;3-А;;;;;;;;;;;;;;;;;;3-Б;;;;;;;;;;;;;;;;;;3-В;;;;;;;;;;;;;;;;;;3-Г;;;;;;;;;;;;;;;;;;3-Э;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
