;;1-А;;;;;;;;;;;;;;;;;;1-Б;;;;;;;;;;;;;;;;;;1-В;;;;;;;;;;;;;;;;;;1-Г;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;3;10:35;"Английский язык

ШО 1
203а, Кабинет АЯ";;;;;;;;;;;;;;;;;;;;;;3;10:35;"Английский язык

ШО 1
203а, Кабинет АЯ";;;;;;;;;;3;10:35;"Изобразительное искусство
Назина Л.А.
ШО 1
112БНК, Каб. нач. классов";;;;3;10:35;"Шахматы
Уваров В.Г.
ШО 1
112БНК, Каб. нач. классов";;;;;;;;;;3;10:35;"Английский язык
Широкова Н.П.
ШО 1
407а2, Кабинет АЯ";;;;;;;;;;;;;3;10:35;"Английский язык
Калашникова Е.А.
ШО 1
201а, Кабинет АЯ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;4;11:40;"Занимательная математика
Давидян М.А.
ШО 1
206а, Каб. нач. классов";4;11:40;"Шахматы
Уваров В.Г.
ШО 1
206а, Каб. нач. классов";4;11:40;"Основы светской этики
Глухова И.С.
ШО 1
112БНК, Каб. нач. классов";4;11:40;"Русский язык
Давидян М.А.
ШО 1
206а, Каб. нач. классов";4;11:40;"Математика
Давидян М.А.
ШО 1
206а, Каб. нач. классов";;;;4;11:40;"Изобразительное искусство
Назина Л.А.
ШО 1
217БНК, Каб. нач. классов";4;11:40;"Математика
Черешнева О.А.
ШО 1
217БНК, Каб. нач. классов";4;11:40;"Основы светской этики
Глухова И.С.
ШО 1
112БНК, Каб. нач. классов";4;11:40;"Математика
Черешнева О.А.
ШО 1
217БНК, Каб. нач. классов";4;11:40;"Физическая культура
Попов И.Б.
ШО 1
С/з БНК (207БНК), Спортивный зал БНК";;;;4;11:40;"Русский язык
Глухова И.С.
ШО 1
112БНК, Каб. нач. классов";4;11:40;"Математика
Глухова И.С.
ШО 1
112БНК, Каб. нач. классов";4;11:40;"Основы светской этики
Глухова И.С.
ШО 1
112БНК, Каб. нач. классов";4;11:40;"Окружающий мир
Глухова И.С.
ШО 1
112БНК, Каб. нач. классов";4;11:40;"Технология
Глухова И.С.
ШО 1
112БНК, Каб. нач. классов";;;;4;11:40;"Литературное чтение
Антипова С.Ф.
ШО 1
113б, Каб. нач. классов";4;11:40;"Русский язык
Антипова С.Ф.
ШО 1
113б, Каб. нач. классов";4;11:40;"Основы светской этики
Глухова И.С.
ШО 1
112БНК, Каб. нач. классов";4;11:40;"Занимательная математика
Антипова С.Ф.
ШО 1
113б, Каб. нач. классов";4;11:40;"Шахматы
Уваров В.Г.
ШО 1
113б, Каб. нач. классов";;;;4;11:40;"Математика
Садовая Е.С.
ШО 1
114БНК, Каб. нач. классов";4;11:40;"Окружающий мир
Садовая Е.С.
ШО 1
114БНК, Каб. нач. классов";4;11:40;"Основы православной культуры
Садовая Е.С.
ШО 1
114БНК, Каб. нач. классов";4;11:40;"Физическая культура
Попов И.Б.
ШО 1
С/з мал. (201), Спортивный зал малый";4;11:40;"Английский язык

ШО 1
203а, Кабинет АЯ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;4;11:40;"Основы православной культуры
Антипова С.Ф.
ШО 1
113б, Каб. нач. классов";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;11:40;"Основы православной культуры
Антипова С.Ф.
ШО 1
113б, Каб. нач. классов";;;;;;;;;;;;;;;;;;;;;;4;11:40;"Английский язык
Калашникова Е.А.
ШО 1
201а, Кабинет АЯ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;5;12:35;"Технология
Давидян М.А.
ШО 1
206а, Каб. нач. классов";5;12:35;"Литературное чтение
Давидян М.А.
ШО 1
206а, Каб. нач. классов";5;12:35;"Физическая культура
Попов И.Б.
ШО 1
С/з БНК (207БНК), Спортивный зал БНК";5;12:35;"Английский язык
Калашникова Е.А.
ШО 1
201а, Кабинет АЯ";;;;;;;5;12:35;"Литературное чтение
Черешнева О.А.
ШО 1
217БНК, Каб. нач. классов";5;12:35;"Физическая культура
Попов И.Б.
ШО 1
С/з БНК (207БНК), Спортивный зал БНК";5;12:35;"Литературное чтение
Черешнева О.А.
ШО 1
217БНК, Каб. нач. классов";;;;5;12:35;"Технология
Черешнева О.А.
ШО 1
217БНК, Каб. нач. классов";;;;5;12:35;"Литературное чтение
Глухова И.С.
ШО 1
112БНК, Каб. нач. классов";5;12:35;"Литературное чтение
Глухова И.С.
ШО 1
112БНК, Каб. нач. классов";5;12:35;"Литературное чтение
Глухова И.С.
ШО 1
112БНК, Каб. нач. классов";;;;5;12:35;"Музыка
Шелепова И.М.
ШО 1
112БНК, Каб. нач. классов";;;;5;12:35;"Математика
Антипова С.Ф.
ШО 1
113б, Каб. нач. классов";5;12:35;"Литературное чтение
Антипова С.Ф.
ШО 1
113б, Каб. нач. классов";5;12:35;"Технология
Антипова С.Ф.
ШО 1
113б, Каб. нач. классов";;;;5;12:35;"Окружающий мир
Антипова С.Ф.
ШО 1
113б, Каб. нач. классов";;;;5;12:35;"Музыка
Шелепова И.М.
ШО 1
114БНК, Каб. нач. классов";5;12:35;"Литературное чтение на родном языке (русском)
Садовая Е.С.
ШО 1
114БНК, Каб. нач. классов";;;;5;12:35;"Литературное чтение
Садовая Е.С.
ШО 1
114БНК, Каб. нач. классов";5;12:35;"Литературное чтение
Садовая Е.С.
ШО 1
114БНК, Каб. нач. классов";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;5;12:35;"Английский язык

ШО 1
206а, Каб. нач. классов";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;13:40;"Русский язык
Глухова И.С.
ШО 1
112БНК, Каб. нач. классов";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;5-А;;;;;;;;;;;;;;;;;;5-Б;;;;;;;;;;;;;;;;;;5-В;;;;;;;;;;;;;;;;;;5-Г;;;;;;;;;;;;;;;;;;5-Д;;;;;;;;;;;;;;;;;;5 НДО Боев Андрей Константинович;;;;;;;;;;;;;;;;;;5 НДО Исаев Семен Игоревич;;;;;;;;;;;;;;;;;;5 НДО Ляхнович Илья Станиславович;;;;;;;;;;;;;;;;;;5-Э;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;1;08:30;"Физическая культура
Попов И.Б.
ШО 1
С/з бол. (203), Спортивный зал большой";1;08:30;"Изобразительное искусство
Назина Л.А.
ШО 1
102б, Кабинет МХК";1;08:30;"Русский язык

ШО 1
102б, Кабинет МХК";1;08:30;"Математика
Павлов Н.М.
ШО 1
207б, Кабинет РЯ и ЛИ";;;;;;;1;08:30;"География
Медведюк И.С.
ШО 1
111БНК, Каб. нач. классов";1;08:30;"Русский язык
Бугакова М.И.
ШО 1
204б, Кабинет РЯ и ЛИ";1;08:30;"Литература
Бугакова М.И.
ШО 1
204б, Кабинет РЯ и ЛИ";1;08:30;"Биология
Лукоянова Н.М.
ШО 1
407б, Кабинет биологии";;;;;;;1;08:30;"Биология
Лукоянова Н.М.
ШО 1
407б, Кабинет биологии";1;08:30;"Русский язык

ШО 1
102а, Кабинет математики, ОБЖ и кадетский класс";1;08:30;"Математика
Никитич Т.Н.
ШО 1
307а, Каб. математики";1;08:30;"Физическая культура
Попов И.Б.
ШО 1
С/з бол. (203), Спортивный зал большой";;;;;;;1;08:30;"Математика
Никитич Т.Н.
ШО 1
307а, Каб. математики";1;08:30;"Математика
Никитич Т.Н.
ШО 1
307а, Каб. математики";1;08:30;"Английский язык
Карташова Т.М.
ШО 1
401а, Кабинет АЯ";1;08:30;"Математика
Никитич Т.Н.
ШО 1
307а, Каб. математики";;;;;;;1;08:30;"Русский язык

ШО 1
207а, Каб. математики";1;08:30;"Английский язык
Тропина С.С.
ШО 1
407а1, Кабинет АЯ";1;08:30;"Физическая культура
Попов И.Б.
ШО 1
С/з БНК (207БНК), Спортивный зал БНК";1;08:30;"Русский язык

ШО 1
204б, Кабинет РЯ и ЛИ";;;;;;;1;08:30;"История
Стародубцева Т.А.
ШО 1
302БНК, Кабинет АЯ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;08:30;"Наглядная геометрия
Антонова В.В.
ШО 1
305а, Кабинет физики";1;08:30;"Функциональная грамотность
Прилипко Е.В.
ШО 1
402а, Кабинет химии";1;08:30;"Английский язык
Кущева Н.А.
ШО 1
301а, Кабинет АЯ";1;08:30;"Литература
Шарапова Е.А.
ШО 1
201б, Кабинет РЯ и ЛИ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;08:30;"Английский язык
Сударикова Е.В.
ШО 1
302БНК, Кабинет АЯ";;;;;;;;;;;;;1;08:30;"Английский язык
Сударикова Е.В.
ШО 1
302БНК, Кабинет АЯ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;08:30;"Английский язык
Калашникова Е.А.
ШО 1
201а, Кабинет АЯ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2;09:30;"Наглядная геометрия
Павлов Н.М.
ШО 1
406а, Кабинет информатики";2;09:30;"Русский язык

ШО 1
402а, Кабинет химии";2;09:30;"Математика
Павлов Н.М.
ШО 1
406а, Кабинет информатики";2;09:30;"География
Киселева И.М.
ШО 1
404б, Кабинет географии";2;09:30;"Физическая культура
Попов И.Б.
ШО 1
С/з мал. (201), Спортивный зал малый";;;;2;09:30;"Русский язык
Бугакова М.И.
ШО 1
204б, Кабинет РЯ и ЛИ";2;09:30;"Физическая культура
Попов И.Б.
ШО 1
С/з мал. (201), Спортивный зал малый";2;09:30;"Изобразительное искусство
Назина Л.А.
ШО 1
102б, Кабинет МХК";2;09:30;"Читательская грамотность
Бугакова М.И.
ШО 1
204б, Кабинет РЯ и ЛИ";2;09:30;"Английский язык
Ширнина В.О.
ШО 1
307б, Каб. истории и общ.";;;;2;09:30;"Русский язык

ШО 1
303БНК, Каб. нач. классов";2;09:30;"Математика
Никитич Т.Н.
ШО 1
307а, Каб. математики";2;09:30;"Математика
Никитич Т.Н.
ШО 1
307а, Каб. математики";2;09:30;"Русский язык

ШО 1
313БНК, Каб. нач. классов";2;09:30;"Математика
Никитич Т.Н.
ШО 1
307а, Каб. математики";;;;2;09:30;"История
Феоктистова О.Н.
ШО 1
102б, Кабинет МХК";2;09:30;"Русский язык
Акопова С.Н.
ШО 1
301б, Кабинет РЯ и ЛИ";2;09:30;"Английский язык
Карташова Т.М.
ШО 1
401а, Кабинет АЯ";2;09:30;"Наглядная геометрия
Никитич Т.Н.
ШО 1
307а, Каб. математики";2;09:30;"История
Феоктистова О.Н.
ШО 1
102б, Кабинет МХК";;;;2;09:30;"Наглядная геометрия
Путилов А.О.
ШО 1
207а, Каб. математики";2;09:30;"Изобразительное искусство
Назина Л.А.
ШО 1
102б, Кабинет МХК";2;09:30;"Математика
Путилов А.О.
ШО 1
207а, Каб. математики";2;09:30;"История
Стародубцева Т.А.
ШО 1
102а, Кабинет математики, ОБЖ и кадетский класс";2;09:30;"Литература

ШО 1
111БНК, Каб. нач. классов";;;;;;;;;;2;09:30;"Русский язык

ШО 1
303БНК, Каб. нач. классов";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;09:30;"Английский язык
Кущева Н.А.
ШО 1
301а, Кабинет АЯ";2;09:30;"Русский язык
Шарапова Е.А.
ШО 1
201б, Кабинет РЯ и ЛИ";2;09:30;"Музыка
Шелепова И.М.
ШО 1
212а, Актовый зал";2;09:30;"Русский язык
Шарапова Е.А.
ШО 1
201б, Кабинет РЯ и ЛИ";2;09:30;"Математика
Антонова В.В.
ШО 1
305а, Кабинет физики";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;09:30;"Английский язык
Сударикова Е.В.
ШО 1
302БНК, Кабинет АЯ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;09:30;"Английский язык
Калашникова Е.А.
ШО 1
201а, Кабинет АЯ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;3;10:35;"Математика
Павлов Н.М.
ШО 1
307б, Каб. истории и общ.";3;10:35;"История
Багдасарян А.Б.
ШО 1
305б, Каб. истории и общ.";3;10:35;"Математический практикум
Никитич Т.Н.
ШО 1
307а, Каб. математики";3;10:35;"Математика
Павлов Н.М.
ШО 1
206б, Кабинет РЯ и ЛИ";3;10:35;"Английский язык
Сударикова Е.В.
ШО 1
301БНК, Каб. нач. классов";;;;3;10:35;"Математика
Никитич Т.Н.
ШО 1
307а, Каб. математики";3;10:35;"Русский язык
Бугакова М.И.
ШО 1
204б, Кабинет РЯ и ЛИ";3;10:35;"Математический практикум
Никитич Т.Н.
ШО 1
307а, Каб. математики";3;10:35;"Русский язык
Бугакова М.И.
ШО 1
204б, Кабинет РЯ и ЛИ";3;10:35;"Музыка
Шелепова И.М.
ШО 1
212а, Актовый зал";;;;3;10:35;"Музыка
Шелепова И.М.
ШО 1
212а, Актовый зал";3;10:35;"Английский язык
Ширнина В.О.
ШО 1
408б, Кабинет АЯ";3;10:35;"Математический практикум
Никитич Т.Н.
ШО 1
307а, Каб. математики";3;10:35;"Наглядная геометрия
Никитич Т.Н.
ШО 1
307а, Каб. математики";3;10:35;"Русский язык

ШО 1
207б, Кабинет РЯ и ЛИ";;;;3;10:35;"Русский язык
Акопова С.Н.
ШО 1
301б, Кабинет РЯ и ЛИ";3;10:35;"Функциональная грамотность
Карташова Т.М.
ШО 1
401а, Кабинет АЯ";3;10:35;"Математический практикум
Никитич Т.Н.
ШО 1
307а, Каб. математики";3;10:35;"Русский язык
Акопова С.Н.
ШО 1
301б, Кабинет РЯ и ЛИ";3;10:35;"Русский язык
Акопова С.Н.
ШО 1
301б, Кабинет РЯ и ЛИ";;;;3;10:35;"Русский язык

ШО 1
207б, Кабинет РЯ и ЛИ";3;10:35;"Функциональная грамотность
Путилов А.О.
ШО 1
207а, Каб. математики";3;10:35;"Математический практикум
Никитич Т.Н.
ШО 1
307а, Каб. математики";3;10:35;"Русский язык

ШО 1
301БНК, Каб. нач. классов";3;10:35;"История
Стародубцева Т.А.
ШО 1
102а, Кабинет математики, ОБЖ и кадетский класс";;;;;;;;;;3;10:35;"Литература

ШО 1
302БНК, Кабинет АЯ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;10:35;"Русский язык
Шарапова Е.А.
ШО 1
201б, Кабинет РЯ и ЛИ";3;10:35;"Литература
Шарапова Е.А.
ШО 1
201б, Кабинет РЯ и ЛИ";3;10:35;"Математический практикум
Никитич Т.Н.
ШО 1
307а, Каб. математики";3;10:35;"Математика
Антонова В.В.
ШО 1
305а, Кабинет физики";3;10:35;"Русский язык
Шарапова Е.А.
ШО 1
201б, Кабинет РЯ и ЛИ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;3;10:35;"Введение в обществознание
Стародубцева Т.А.
ШО 1
102а, Кабинет математики, ОБЖ и кадетский класс";;;;;;;;;;;;;;;;3;10:35;"Введение в обществознание
Стародубцева Т.А.
ШО 1
102а, Кабинет математики, ОБЖ и кадетский класс";;;;;;;;;;;;;3;10:35;"Английский язык
Сударикова Е.В.
ШО 1
302БНК, Кабинет АЯ";3;10:35;"Введение в обществознание
Стародубцева Т.А.
ШО 1
102а, Кабинет математики, ОБЖ и кадетский класс";;;;;;;;;;;;;;;;3;10:35;"Введение в обществознание
Стародубцева Т.А.
ШО 1
102а, Кабинет математики, ОБЖ и кадетский класс";;;;;;;;;;;;;;;;3;10:35;"Введение в обществознание
Стародубцева Т.А.
ШО 1
102а, Кабинет математики, ОБЖ и кадетский класс";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;10:35;"Введение в обществознание
Стародубцева Т.А.
ШО 1
102а, Кабинет математики, ОБЖ и кадетский класс";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;3;10:35;"Математический практикум
Антонова В.В.
ШО 1
305а, Кабинет физики";;;;;;;;;;;;;;;;3;10:35;"Математический практикум
Антонова В.В.
ШО 1
305а, Кабинет физики";;;;;;;;;;;;;;;;3;10:35;"Математический практикум
Антонова В.В.
ШО 1
305а, Кабинет физики";;;;;;;;;;;;;;;;3;10:35;"Математический практикум
Антонова В.В.
ШО 1
305а, Кабинет физики";;;;;;;;;;;;;;;;3;10:35;"Математический практикум
Антонова В.В.
ШО 1
305а, Кабинет физики";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;10:35;"Математический практикум
Антонова В.В.
ШО 1
305а, Кабинет физики";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;3;10:35;"Математический практикум
Путилов А.О.
ШО 1
207а, Каб. математики";;;;;;;;;;;;;;;;3;10:35;"Математический практикум
Путилов А.О.
ШО 1
207а, Каб. математики";;;;;;;;;;;;;;;;3;10:35;"Математический практикум
Путилов А.О.
ШО 1
207а, Каб. математики";;;;;;;;;;;;;;;;3;10:35;"Математический практикум
Путилов А.О.
ШО 1
207а, Каб. математики";;;;;;;;;;;;;;;;3;10:35;"Математический практикум
Путилов А.О.
ШО 1
207а, Каб. математики";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;10:35;"Математический практикум
Путилов А.О.
ШО 1
207а, Каб. математики";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;3;10:35;"Культура устной и письменной речи
Шарапова Е.А.
ШО 1
201б, Кабинет РЯ и ЛИ";;;;;;;;;;;;;;;;3;10:35;"Культура устной и письменной речи
Шарапова Е.А.
ШО 1
201б, Кабинет РЯ и ЛИ";;;;;;;;;;;;;;;;3;10:35;"Культура устной и письменной речи
Шарапова Е.А.
ШО 1
201б, Кабинет РЯ и ЛИ";;;;;;;;;;;;;;;;3;10:35;"Культура устной и письменной речи
Шарапова Е.А.
ШО 1
201б, Кабинет РЯ и ЛИ";;;;;;;;;;;;;;;;3;10:35;"Культура устной и письменной речи
Шарапова Е.А.
ШО 1
201б, Кабинет РЯ и ЛИ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;10:35;"Культура устной и письменной речи
Шарапова Е.А.
ШО 1
201б, Кабинет РЯ и ЛИ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;3;10:35;"Введение в естественнонаучные предметы (химия)
Прилипко Е.В.
ШО 1
402а, Кабинет химии";;;;;;;;;;;;;;;;3;10:35;"Введение в естественнонаучные предметы (химия)
Прилипко Е.В.
ШО 1
402а, Кабинет химии";;;;;;;;;;;;;;;;3;10:35;"Введение в естественнонаучные предметы (химия)
Прилипко Е.В.
ШО 1
402а, Кабинет химии";;;;;;;;;;;;;;;;3;10:35;"Введение в естественнонаучные предметы (химия)
Прилипко Е.В.
ШО 1
402а, Кабинет химии";;;;;;;;;;;;;;;;3;10:35;"Введение в естественнонаучные предметы (химия)
Прилипко Е.В.
ШО 1
402а, Кабинет химии";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;10:35;"Введение в естественнонаучные предметы (химия)
Прилипко Е.В.
ШО 1
402а, Кабинет химии";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;4;11:40;"Русский язык

ШО 1
307б, Каб. истории и общ.";4;11:40;"Основы духовно-нравственной культуры народов России
Атрощенко Е.В.
ШО 1
214БНК, Каб. нач. классов";4;11:40;"Русский язык

ШО 1
201а, Кабинет АЯ";4;11:40;"Читательская грамотность

ШО 1
406а, Кабинет информатики";4;11:40;"Русский язык

ШО 1
206б, Кабинет РЯ и ЛИ";;;;4;11:40;"Литература
Бугакова М.И.
ШО 1
204б, Кабинет РЯ и ЛИ";4;11:40;"Функциональная грамотность
Ширнина В.О.
ШО 1
204б, Кабинет РЯ и ЛИ";4;11:40;"Математика
Никитич Т.Н.
ШО 1
307а, Каб. математики";4;11:40;"Математика
Никитич Т.Н.
ШО 1
307а, Каб. математики";4;11:40;"Наглядная геометрия
Никитич Т.Н.
ШО 1
307а, Каб. математики";;;;4;11:40;"Основы духовно-нравственной культуры народов России
Лобанова Ж.Е.
ШО 1
213БНК, Каб. нач. классов";4;11:40;"Русский язык

ШО 1
305б, Каб. истории и общ.";4;11:40;"География
Мукажанова Д.В.
ШО 1
313БНК, Каб. нач. классов";4;11:40;"Английский язык
Ширнина В.О.
ШО 1
408б, Кабинет АЯ";4;11:40;"Английский язык
Ширнина В.О.
ШО 1
408б, Кабинет АЯ";;;;4;11:40;"Основы духовно-нравственной культуры народов России
Поварова С.И.
ШО 1
115БНК, Каб. нач. классов";4;11:40;"Физическая культура
Попов И.Б.
ШО 1
С/з бол. (203), Спортивный зал большой";4;11:40;"Русский язык
Акопова С.Н.
ШО 1
301б, Кабинет РЯ и ЛИ";4;11:40;"Изобразительное искусство
Назина Л.А.
ШО 1
102б, Кабинет МХК";4;11:40;"Литература
Акопова С.Н.
ШО 1
301б, Кабинет РЯ и ЛИ";;;;4;11:40;"Математика
Путилов А.О.
ШО 1
207а, Каб. математики";4;11:40;"Английский язык
Тропина С.С.
ШО 1
407а1, Кабинет АЯ";4;11:40;"Биология
Лукоянова Н.М.
ШО 1
407б, Кабинет биологии";4;11:40;"Математика
Путилов А.О.
ШО 1
207а, Каб. математики";4;11:40;"Математика
Путилов А.О.
ШО 1
207а, Каб. математики";;;;4;11:40;"Английский язык
Тропина С.С.
ШО 1
407а1, Кабинет АЯ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;11:40;"История
Стародубцева Т.А.
ШО 1
102а, Кабинет математики, ОБЖ и кадетский класс";4;11:40;"Математика
Антонова В.В.
ШО 1
305а, Кабинет физики";4;11:40;"Физическая культура
Попов И.Б.
ШО 1
С/з бол. (203), Спортивный зал большой";4;11:40;"История
Стародубцева Т.А.
ШО 1
102а, Кабинет математики, ОБЖ и кадетский класс";4;11:40;"Основы духовно-нравственной культуры народов России
Черешнева О.А.
ШО 1
217БНК, Каб. нач. классов";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;11:40;"Английский язык
Сударикова Е.В.
ШО 1
302БНК, Кабинет АЯ";4;11:40;"Английский язык
Сударикова Е.В.
ШО 1
302БНК, Кабинет АЯ";;;;;;;;;;;;;;;;;;;;;;;;;4;11:40;"Английский язык
Сударикова Е.В.
ШО 1
302БНК, Кабинет АЯ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
